key,zh-TW,en,es,de,th
SizeMatkPercent,體型 %,Size MATK %,Tamaño MATK %,Größe MATK %,ขนาด MATK %
LevelMatkPercent,階級 %,Level MATK %,Nivel MATK %,Stufe MATK %,ระดับ MATK %
ElementalMatkPercent,對屬性敵人 %,Element Target %,Objetivo elemental %,Elementziel %,เป้าหมายธาตุ %
ElementalMagicPercent,屬性魔法 %,Elemental Magic %,Magia elemental %,Elementmagie %,เวทธาตุ %
MonsterMatkPercent,特定魔物 %,Specific Monster %,Monstruo específico %,Bestimmtes Monster %,มอนสเตอร์เฉพาะ %
BypassMDEFPercent,無視魔法防禦 %,Ignore MDEF %,Ignorar MDEF %,Ignoriere MDEF %,มองข้าม MDEF %
BypassMRESPercent,無視MRES %,Ignore MRES %,Ignorar MRES %,Ignoriere MRES %,มองข้าม MRES %
SkillDamagePercent,技能增傷 %,Skill DMG %,DMG de habilidad %,Skill-DMG %,DMG สกิล %
CDTime,技能獨延,Skill Cooldown,Cooldown de habilidad,Skill-Cooldown,คูลดาวน์สกิล
GCDPercent,技能後(共)延%,Skill GCD %,GCD de habilidad %,Skill-GCD %,GCD สกิล %
ElementDamageDealtIncreasedPercent,屬性耐性減少 %,Element Resistance Reduction %,Element Reducción de resistencia %,Element Resistenzreduktion %,Element ลดความต้านทาน %
VariableCastPercent,變詠 %,Variable Cast %,Lanzamiento variable %,Variable Zauberzeit %,ร่ายแปรผัน %
VariableCastSecond,變詠,Variable Cast Time,Lanzamiento variable Time,Variable Zauberzeit Time,ร่ายแปรผัน Time
SPSkillVariableCastPercent,指定技能變詠 %,Variable Cast % (Specific Skill),Lanzamiento variable % (Specific Habilidad),Variable Zauberzeit % (Specific Skill),ร่ายแปรผัน % (Specific สกิล)
FixedCast,固詠,Fixed Cast Time,Lanzamiento fijo Time,Feste Zauberzeit Time,ร่ายคงที่ Time
FixedCastPercent,固詠 %,Fixed Cast %,Lanzamiento fijo %,Feste Zauberzeit %,ร่ายคงที่ %
AspdPercent,攻擊後延%,ASPD Delay %,ASPD Delay %,ASPD Delay %,ASPD Delay %
Cri,暴擊率 %,Critical Rate %,Probabilidad crítica %,Krit-Rate %,อัตราคริติคอล %
PerfectFlee,完全迴避,Perfect Flee,Perfect Flee,Perfect Flee,Perfect Flee
HPRegenPercent,HP恢復 %,HP Regen %,HP Regeneración %,HP Regeneration %,HP ฟื้นฟู %
SPRegenPercent,SP恢復 %,SP Regen %,SP Regeneración %,SP Regeneration %,SP ฟื้นฟู %
WeaponPerfection,無視體型攻擊,Ignore Size Penalty,Ignorar Tamaño Penalización,Ignoriere Größe Malus,มองข้าม ขนาด โทษ
WeaponOccult,浸透勁效果,Weapon Perfection Effect,Weapon Perfection Effect,Weapon Perfection Effect,Weapon Perfection Effect
AspdPotionPercent,攻速藥水 %,ASPD Potion %,ASPD Poción %,ASPD Trank %,ASPD ยา %
AspdRuneFlat,盧恩石5,Rune Stone Lv.5,Rune Stone Lv.5,Rune Stone Lv.5,Rune Stone Lv.5
Empty,空手,Bare Hands,Sin arma,Unbewaffnet,มือเปล่า
Daggers,短劍,Daggers,Dagas,Dolche,มีดสั้น
OneHandedSwords,單手劍,One-Handed Sword,Espada de una mano,Einhandschwert,ดาบมือเดียว
TwoHandedSword,雙手劍,Two-Handed Sword,Espada de dos manos,Zweihandschwert,ดาบสองมือ
Katars,拳刃,Katars,Katars,Katars,กาตาร์
Spears,單手矛,One-Handed Spear,Lanza de una mano,Einhand-Speer,หอกมือเดียว
SpearsTwoHand,雙手矛,Two-Handed Spear,Lanza de dos manos,Zweihand-Speer,หอกสองมือ
Axes,單手斧,One-Handed Axe,Hacha de una mano,Einhand-Axt,ขวานมือเดียว
AxesTwoHand,雙手斧,Two-Handed Axe,Hacha de dos manos,Zweihand-Axt,ขวานสองมือ
Maces,鈍器,Mace,Maza,Streitkolben,กระบอง
Knuckles,拳套,Knuckles,Puños,Fäuste,สนับมือ
Rods,單手杖,One-Handed Staff,Bastón de una mano,Einhand-Stab,คทามือเดียว
RodsTwoHand,雙手杖,Two-Handed Staff,Bastón de dos manos,Zweihand-Stab,คทาสองมือ
Books,書本,Book,Libro,Buch,หนังสือ
Bows,弓,Bow,Arco,Bogen,ธนู
Instruments,樂器,Instrument,Instrumento,Instrument,เครื่องดนตรี
Whips,鞭子,Whip,Látigo,Peitsche,แส้
Pistol,手槍,Pistol,Pistola,Pistole,ปืนพก
Rifle,來福,Rifle,Rifle,Gewehr,ไรเฟิล
Gatling,格林,Gatling Gun,Ametralladora Gatling,Gatling,ปืนแกตลิง
Shotgun,霰彈,Shotgun,Escopeta,Schrotflinte,ปืนลูกซอง
Grenade,榴彈,Grenade Launcher,Lanzagranadas,Granatwerfer,เครื่องยิงลูกระเบิด
Shuriken,風魔飛鏢,Shuriken,Shuriken,Shuriken,ชูริเคน
ui.charstats.title,角色素質,Stats,Atributos,Werte,ค่าสถานะ
ui.charstats.class,職業,Class,Clase,Klasse,อาชีพ
ui.common.pleaseselect,請選擇,Please Select,Seleccionar,Bitte auswählen,กรุณาเลือก
ui.charstats.applyjobbonus,代入JOB加成,Apply Job Bonus,Aplicar bonificación de Job,Job-Bonus anwenden,ใช้โบนัส Job
ui.charstats.selectbonussource,選擇加成來源,Select Bonus Source,Seleccionar fuente de bonificación,Bonusquelle auswählen,เลือกแหล่งโบนัส
jobtier_2nd,二轉50,2nd Job (Lv.50),2.º Job (Nv.50),2. Job (Lv.50),อาชีพ 2 (Lv.50)
jobtier_2nd_extend,進階二轉70,Extended 2nd Job (Lv.70),2.º Job avanzado (Nv.70),Erweiterter 2. Job (Lv.70),อาชีพ 2 ขั้นสูง (Lv.70)
jobtier_3rd,三轉50,3rd Job (Lv.50),3.er Job (Nv.50),3. Job (Lv.50),อาชีพ 3 (Lv.50)
jobtier_4th,四轉60,4th Job (Lv.60),4.º Job (Nv.60),4. Job (Lv.60),อาชีพ 4 (Lv.60)
ui.charstats.aspdtooltip,目前的攻速公式與懲罰職等，點按鈕開啟攻速懲罰表可以更改設定。,Current ASPD formula and job-tier penalty. Click the button to open the ASPD penalty table and change the settings.,Fórmula ASPD y penalización por nivel de Job actuales. Pulsa el botón para abrir la tabla de penalización de ASPD y cambiar los ajustes.,"Aktuelle ASPD-Formel und Job-Stufen-Malus. Klicke auf die Schaltfläche, um die ASPD-Malustabelle zu öffnen und die Einstellungen zu ändern.",สูตร ASPD และระดับโทษ Job ปัจจุบัน กดปุ่มเพื่อเปิดตารางโทษ ASPD และเปลี่ยนการตั้งค่า
ui.charstats.aspdsetting,攻速設定,ASPD Settings,Ajustes de ASPD,ASPD-Einstellungen,ตั้งค่า ASPD
ui.common.paradise,樂園,Zero,Zero,Zero,Zero
ui.common.official,四轉服,Official,Oficial,Offiziell,Official
ui.common.formula,公式,Formula,Fórmula,Formel,สูตร
ui.common.jobtier,職等,Job Tier,Nivel de Job,Job-Stufe,ระดับ Job
ui.common.tier34,三/四轉,3rd/4th,3.º/4.º,3./4.,3/4
ui.common.tier2,二轉,2nd,2.º,2.,2
ui.charstats.transcendent,轉生,Transcendent,Transcendente,Transzendent,จุติ
ui.charstats.transcendenttooltip,轉生100點，非轉生52點,"100 points if Transcendent, 52 if not",100 puntos si es Transcendente; 52 si no lo es,"100 Punkte bei Transzendent, sonst 52",100 แต้มเมื่อจุติ และ 52 แต้มเมื่อไม่จุติ
ui.charstats.availablepoints,可用素質點,Available Stat Points,Puntos de atributo disponibles,Verfügbare Statuspunkte,แต้มสถานะที่ใช้ได้
ui.charstats.usedpointstooltip,"計算素質欄中第一個 "" + 號"" 前的數值 例:120+10+5 取120","Uses the value before the first "" + "" in the stat field, e.g. 120+10+5 counts as 120","Usa el valor anterior al primer "" + "" del campo de atributo; p. ej., 120+10+5 cuenta como 120","Verwendet den Wert vor dem ersten "" + "" im Wertefeld; z. B. zählt 120+10+5 als 120","ใช้ค่าก่อนเครื่องหมาย "" + "" ตัวแรกในช่องสถานะ เช่น 120+10+5 จะนับเป็น 120"
ui.charstats.usedpoints,已消耗點數,Points Used,Puntos usados,Verbrauchte Punkte,แต้มที่ใช้แล้ว
ui.common.remaining,餘,Remaining,Restante,Verbleibend,คงเหลือ
ui.common.point,點,pts,pts,Pkt.,แต้ม
ui.common.insufficient,不足,Insufficient,Insuficiente,Nicht ausreichend,ไม่เพียงพอ
ui.charstats.traitpoints,特質點,Trait Points,Puntos de rasgo,Eigenschaftspunkte,แต้มคุณลักษณะ
ui.charstats.jobbonuspoint,Job加成點,Job Bonus Points,Puntos de bonificación de Job,Job-Bonuspunkte,แต้มโบนัส Job
ui.equip.type,類型,Type,Tipo,Typ,ประเภท
ui.equip.weapontype,武器類型,Weapon Type,Tipo de arma,Waffentyp,ประเภทอาวุธ
ui.equip.subweapontype,副手武器類型,off Hand Weapon,Arma secundaria,Nebenhandwaffe,อาวุธมือรอง
ui.equip.weaponlevel,武器等級,WeaponLevel,Nivel de arma,Waffenstufe,ระดับอาวุธ
ui.equip.grade,Grade等級,Grade,Grado,Grad,เกรด
subhand_0,空手,Bare Hands,Sin arma,Unbewaffnet,มือเปล่า
subhand_1,盾牌,Shield,Escudo,Schild,โล่
subhand_2,武器,Weapon,Arma,Waffe,อาวุธ
weaponlevel_1,一級,1,1,1,1
weaponlevel_2,二級,2,2,2,2
weaponlevel_3,三級,3,3,3,3
weaponlevel_4,四級,4,4,4,4
weaponlevel_5,五級,5,5,5,5
weapongrade_0,無,N,N,N,N
weapongrade_1,D,D,D,D,D
weapongrade_2,C,C,C,C,C
weapongrade_3,B,B,B,B,B
weapongrade_4,A,A,A,A,A
class_RK,騎士/盧恩騎士/盧恩龍爵,Knight,Caballero,Ritter,อัศวิน
class_GX,刺客/十字斬首者/十字影武,Assassion,Asesino,Assassine,แอสซาซิน
class_AB,祭司/大主教/樞機主教,Priest,Sacerdote,Priester,พรีสต์
class_RA,獵人/遊俠/風鷹狩獵者,Hunter,Cazador,Jäger,ฮันเตอร์
class_WL,巫師/咒術士/禁咒魔導士,Wizard,Mago,Magier,วิซาร์ด
class_ME,鐵匠/機械工匠/機甲神匠,Blacksmith,Herrero,Schmied,แบล็คสมิธ
class_RG,十字軍/皇家禁衛軍/帝國聖衛軍,Crusader,Cruzado,Kreuzritter,ครูเซเดอร์
class_SC,流氓/魅影追蹤者/深淵追跡者,Rouge,Pícaro,Schurke,โร้ก
class_SU,武僧/修羅/聖裁者,Monk,Monje,Mönch,มองค์
class_MI,詩人/宮廷樂師/天籟頌者,Bard,Bardo,Barde,บาร์ด
class_WA,舞孃/浪跡舞者/樂之舞靈,Dancer,Bailarina,Tänzerin,แดนเซอร์
class_SO,賢者/妖術師/元素支配者,Sage,Sabio,Weiser,เซจ
class_GE,煉金/基因學者/生命締造者,Alchemist,Alquimista,Alchemist,อัลเคมิสต์
class_KO,影狼/流浪忍者,Kagerou/Shinkiro,Kagerou/Shinkiro,Kagerou/Shinkiro,Kagerou/Shinkiro
class_OB,朧/疾風忍者,Oboro/Shiranui,Oboro/Shiranui,Oboro/Shiranui,Oboro/Shiranui
class_RE,反叛者/夜行使,Rebellion/Night Watch,Rebellion/Night Watch,Rebellion/Night Watch,Rebellion/Night Watch
class_SE,拳皇/天帝,Star Emperor/Sky Emperor,Star Emperor/Sky Emperor,Star Emperor/Sky Emperor,Star Emperor/Sky Emperor
class_SL,獵靈士/契靈士,Soul Reaper/Soul Ascetic,Soul Reaper/Soul Ascetic,Soul Reaper/Soul Ascetic,Soul Reaper/Soul Ascetic
class_SUM,喵族召喚師/魂靈師,Summoner/Spirit Handler,Summoner/Spirit Handler,Summoner/Spirit Handler,Summoner/Spirit Handler
class_SN,超級初心者/終極初學者,Super Novice/Hyper Novice,Super Novice/Hyper Novice,Super Novice/Hyper Novice,Super Novice/Hyper Novice
class_DR,Druid/Karnos/Alitea,Druid/Karnos/Alitea,Druid/Karnos/Alitea,Druid/Karnos/Alitea,Druid/Karnos/Alitea
ui.equip.refinelevel,精鍊等級,Refine Level,Nivel de refinamiento,Veredelungsstufe,ระดับตีบวก
ui.equip.weaponatk,武器ATK,Weapon ATK,ATK del arma,Waffen-ATK,ATK อาวุธ
ui.equip.weaponmatk,武器MATK,Weapon MATK,MATK del arma,Waffen-MATK,MATK อาวุธ
ui.equip.shellatk,砲彈ATK,Cannon ATK,ATK del cañón,Kanonen-ATK,ATK กระสุนปืนใหญ่
ui.equip.bulletatk,子彈ATK,Bullet ATK,ATK de la bala,Kugel-ATK,ATK กระสุน
ui.equip.arrowatk,箭矢ATK,Arrow ATK,ATK de la flecha,Pfeil-ATK,ATK ลูกธนู
ui.equip.weaponweight,武器重量,Weapon Weight,Peso del arma,Waffengewicht,น้ำหนักอาวุธ
ui.equip.shieldrefine,盾牌精煉,Shield Refine,Refinamiento del escudo,Schildveredelung,ตีบวกโล่
ui.equip.shieldweight,盾牌重量,Shield Weight,Peso del escudo,Schildgewicht,น้ำหนักโล่
ui.equip.cardenchant,卡片/附魔,Slot,Ranura,Slot,ช่อง
ui.common.clear,清空,Clear,Limpiar,Leeren,ล้าง
ui.common.edit,編輯,Edit,Editar,Bearbeiten,แก้ไข
ui.common.cancel,取消,Cancel,Cancelar,Abbrechen,ยกเลิก
ui.common.confirm,確定,Confirm,Confirmar,Bestätigen,ยืนยัน
ui.common.save,儲存,Save,Guardar,Speichern,บันทึก
ui.equip.setnamefirst,儲存前設定裝備名,Set Equipment Name Before Saving,Define el nombre del equipo antes de guardar,Vor dem Speichern einen Ausrüstungsnamen festlegen,ตั้งชื่ออุปกรณ์ก่อนบันทึก
ui.equip.allskilldmg,所有技能增傷 %,All Skill DMG %,DMG de todas las habilidades %,DMG aller Skills %,DMG ทุกสกิล %
ui.equip.allskillcd,所有技能獨延,All Skill Cooldown,Cooldown de todas las habilidades,Cooldown aller Skills,คูลดาวน์ทุกสกิล
ui.equip.specifyskill,指定技能,Specify Skill,Especificar habilidad,Skill festlegen,ระบุสกิล
ui.equip.specifyelement,指定屬性,Specify Element,Especificar elemento,Element festlegen,ระบุธาตุ
ui.equip.specifyrace,指定種族,Specify Race,Especificar raza,Rasse festlegen,ระบุเผ่า
ui.equip.specifysize,指定體型,Specify Size,Especificar tamaño,Größe festlegen,ระบุขนาด
ui.equip.specifylevel,指定階級,Specify Level,Especificar nivel,Stufe festlegen,ระบุระดับ
ui.equip.specifysizemultiplier,指定體型倍率,Specify Size Multiplier,Especificar multiplicador de tamaño,Größenmultiplikator festlegen,ระบุตัวคูณขนาด
ui.equip.size,體型,Size,Tamaño,Größe,ขนาด
ui.equip.physicalsizepercent,物理體型 %,Physical Size %,Tamaño físico %,Physische Größe %,ขนาดกายภาพ %
ui.equip.magicsizepercent,魔法體型 %,Magic Size %,Tamaño mágico %,Magische Größe %,ขนาดเวท %
ui.common.action,操作,Action,Acción,Aktion,การทำงาน
ui.common.apply,套用,Apply,Aplicar,Anwenden,ใช้
ui.equip.specifylevelmultiplier,指定階級倍率,Specify Level Multiplier,Especificar multiplicador de nivel,Stufenmultiplikator festlegen,ระบุตัวคูณระดับ
ui.equip.level,階級,Tier,Rango,Rang,ระดับ
ui.equip.physicallevelpercent,物理階級 %,Physical Level %,Nivel físico %,Physische Stufe %,ระดับกายภาพ %
ui.equip.magiclevelpercent,魔法階級 %,Magic Level %,Nivel mágico %,Magische Stufe %,ระดับเวท %
ui.equip.specifyracemultiplier,指定種族倍率,Specify Race Multiplier,Especificar multiplicador de raza,Rassenmultiplikator festlegen,ระบุตัวคูณเผ่า
ui.equip.race,種族,Race,Raza,Rasse,เผ่า
ui.equip.physicalracepercent,物理種族 %,Physical Race %,Raza física %,Physische Rasse %,เผ่ากายภาพ %
ui.equip.magicracepercent,魔法種族 %,Magic Race %,Raza mágica %,Magische Rasse %,เผ่าเวท %
ui.equip.specifyelementmultiplier,指定屬性倍率,Specify Element Multiplier,Especificar multiplicador elemental,Elementmultiplikator festlegen,ระบุตัวคูณธาตุ
ui.equip.element,屬性,Element,Elemento,Element,ธาตุ
ui.equip.alltarget,全,All,Todos,Alle,ทั้งหมด
ui.equip.elementmultiplier,屬性倍率,Element Multiplier,Multiplicador elemental,Elementmultiplikator,ตัวคูณธาตุ
leveltype_0,一般,Normal,Normal,Normal,ปกติ
leveltype_1,BOSS,BOSS,BOSS,BOSS,BOSS
racetype_0,無形,Formless,Sin forma,Formlos,ไร้รูปร่าง
racetype_1,不死,Undead,No muerto,Untot,ผีดิบ
racetype_2,動物,Brute,Bestia,Tier,สัตว์
racetype_3,植物,Plant,Planta,Pflanze,พืช
racetype_4,昆蟲,Insect,Insecto,Insekt,แมลง
racetype_5,魚貝,Fish,Pez,Fisch,ปลา
racetype_6,惡魔,Demon,Demonio,Dämon,ปีศาจ
racetype_7,人形,Demi-Human,Semihumano,Halbmensch,กึ่งมนุษย์
racetype_8,天使,Angel,Ángel,Engel,เทวทูต
racetype_9,龍族,Dragon,Dragón,Drache,มังกร
racetype_10,玩家(人類),Player (Human),Jugador (humano),Spieler (Mensch),ผู้เล่น (มนุษย์)
racetype_11,玩家(貓族),Player (Doram),Jugador (Doram),Spieler (Doram),ผู้เล่น (Doram)
sizetype_0,小型,Small,Pequeño,Klein,เล็ก
sizetype_1,中型,Medium,Mediano,Mittel,กลาง
sizetype_2,大型,Large,Grande,Groß,ใหญ่
elementtype_0,無,Neutral,Neutral,Neutral,ไร้ธาตุ
elementtype_1,火,Fire,Fuego,Feuer,ไฟ
elementtype_2,水,Water,Agua,Wasser,น้ำ
elementtype_3,風,Wind,Viento,Wind,ลม
elementtype_4,地,Earth,Tierra,Erde,ดิน
elementtype_5,毒,Poison,Veneno,Gift,พิษ
elementtype_6,聖,Holy,Sagrado,Heilig,ศักดิ์สิทธิ์
elementtype_7,暗,Dark,Oscuro,Dunkel,มืด
elementtype_8,念,Ghost,Fantasma,Geist,วิญญาณ
elementtype_9,不死,Undead,No muerto,Untot,ผีดิบ
ui.equip.weaponsizetable,武器懲罰表,Weapon Penalty Table,Tabla de penalización de armas,Waffen-Malustabelle,ตารางโทษอาวุธ
ui.equip.refineatkmatk,精鍊Atk / Matk,Refine Atk / Matk,Refinamiento Atk / Matk,Veredelung Atk / Matk,ตีบวก Atk / Matk
ui.equip.overrefineatkmatk,過度精鍊Atk / Matk,Over Refine Atk / Matk,Sobre-refinamiento Atk / Matk,Überveredelung Atk / Matk,ตีบวกเกิน Atk / Matk
ui.equip.jumptoslot,快速跳轉部位,Jump to Slot,Ir rápidamente a la ranura,Schnell zum Slot,ไปยังช่องอย่างรวดเร็ว
ui.equip.title,裝備,Equipment,Equipo,Ausrüstung,อุปกรณ์
ui.equip.dbtooltip,讀取已經儲存的裝備,Load Saved Equipment,Cargar equipo guardado,Gespeicherte Ausrüstung laden,โหลดอุปกรณ์ที่บันทึกไว้
ui.equip.dblist,裝備清單,Equipment List,Lista de equipo,Ausrüstungsliste,รายการอุปกรณ์
ui.equip.search,搜尋,Search,Buscar,Suchen,ค้นหา
ui.equip.filterall,全部,All,Todos,Alle,ทั้งหมด
ui.equip.slot,部位,Slot,Ranura,Slot,ช่อง
ui.equip.equipnamecol,裝備名字,Equipment Name,Nombre del equipo,Ausrüstungsname,ชื่ออุปกรณ์
ui.common.load,載入,Load,Cargar,Laden,โหลด
ui.common.delete,刪除,Delete,Eliminar,Löschen,ลบ
ui.enemy.title,敵方,Enemy,Enemigo,Gegner,ศัตรู
ui.enemy.select,選擇敵方,Select Enemy,Seleccionar enemigo,Gegner auswählen,เลือกศัตรู
ui.enemy.elementlevel,屬性等級,Element Level,Nivel elemental,Elementstufe,ระดับธาตุ
ui.enemy.element,敵方屬性,Enemy Element,Elemento del enemigo,Gegnerelement,ธาตุศัตรู
ui.enemy.luktooltip,影響最終暴率,Affects Final Critical Rate,Afecta a la probabilidad crítica final,Beeinflusst die finale Krit-Rate,มีผลต่ออัตราคริติคอลสุดท้าย
ui.enemy.vittooltip,影響強酸火煙瓶,Affects Acid/Fire Bottle Damage,Afecta al daño de Acid/Fire Bottle,Beeinflusst den Schaden von Acid/Fire Bottle,มีผลต่อความเสียหาย Acid/Fire Bottle
ui.enemy.defformula,(魔物等級+VIT)/2,(Monster Level+VIT)/2,(Nivel del monstruo+VIT)/2,(Monsterstufe+VIT)/2,(ระดับมอนสเตอร์+VIT)/2
ui.enemy.subdef,減算DEF(前),Soft DEF,DEF blanda,Soft DEF,Soft DEF
ui.enemy.muldef,乘算DEF,Hard DEF,DEF dura,Hard DEF,Hard DEF
ui.enemy.mdefformula,(魔物等級+INT)/4,(Monster Level+INT)/4,(Nivel del monstruo+INT)/4,(Monsterstufe+INT)/4,(ระดับมอนสเตอร์+INT)/4
ui.enemy.submdef,減算MDEF(前),Soft MDEF,MDEF blanda,Soft MDEF,Soft MDEF
ui.enemy.mulmdef,乘算MDEF,Hard MDEF,MDEF dura,Hard MDEF,Hard MDEF
ui.enemy.raceresist,種族抗性,Race Resistance,Resistencia racial,Rassenresistenz,ต้านทานเผ่า
ui.common.subtracted,減,Sub,Resta,Sub,ลบ
ui.common.multiplied,乘,Mul,Mult.,Mul,คูณ
ui.skill.title,技能,Skill,Habilidad,Skill,สกิล
ui.skill.settings,技能設定,Skill Settings,Ajustes de habilidad,Skill-Einstellungen,ตั้งค่าสกิล
ui.skill.dbtooltip,讀取已經儲存的技能,Load Saved Skill,Cargar habilidad guardada,Gespeicherten Skill laden,โหลดสกิลที่บันทึกไว้
ui.skill.name,技能名,Skill Name,Nombre de habilidad,Skillname,ชื่อสกิล
ui.skill.formulakeyword,公式關鍵字,Formula Keywords,Palabras clave de fórmula,Formel-Schlüsselwörter,คีย์เวิร์ดสูตร
ui.skill.keyword,關鍵字,Keyword,Palabra clave,Schlüsselwort,คีย์เวิร์ด
ui.skill.function,功能,Function,Función,Funktion,ฟังก์ชัน
ui.skill.level,技能等級,Skill Level,Nivel de habilidad,Skillstufe,ระดับสกิล
ui.skill.hitnumber,傷害次數,Hit Count,Número de golpes,Trefferanzahl,จำนวนฮิต
