SKID常數,技能名稱
CD_PNEUMATICUS_PROCELLA,驅魔風暴
CD_PRESENS_ACIES,爆裂聖光
CD_RELIGIO,全心奉獻
CD_REPARATIO,聖光治癒
CG_ARROWVULCAN,奧義箭亂舞
CG_HERMODE,海羅默德的手杖
CG_MARIONETTE,傀儡師的把戲
CG_MOONLIT,落花伴著月光下的水車小屋
CG_SPECIALSINGER,職人演奏家
CG_TAROTCARD,命運的塔羅牌
CH_CHAINCRUSH,氣絕崩擊
CH_PALMSTRIKE,猛虎硬派山
CH_SOULCOLLECT,狂蓄氣
CH_TIGERFIST,伏虎拳
CR_ACIDDEMONSTRATION,強酸火煙瓶投擲
CR_AUTOGUARD,自動防禦
CR_CULTIVATION,植物栽培
CR_DEFENDER,光之盾
CR_DEVOTION,犧牲
CR_FULLPROTECTION,所有化學武器保護
CR_GRANDCROSS,聖十字審判
CR_HOLYCROSS,聖十字攻擊
CR_PROVIDENCE,神祐之光
CR_REFLECTSHIELD,反射盾
CR_SHIELDBOOMERANG,迴旋盾擊
CR_SHIELDCHARGE,盾擊
CR_SHRINK,退縮
CR_SLIMPITCHER,纖細藥水投擲
CR_SPEARQUICKEN,長矛加速術
CR_TRUST,信任
DC_DANCINGLESSON,練習舞蹈
DC_DONTFORGETME,勿忘我
DC_FORTUNEKISS,女神之吻
DC_HUMMING,哼唱之音
DC_SCREAM,驚聲尖叫
DC_SERVICEFORYOU,為您服務
DC_THROWARROW,纏箭投擲
DC_UGLYDANCE,醜陋之舞
DC_WINKCHARM,眨眼之誘
DK_CHARGINGPIERCE,蓄力刺擊
DK_DRAGONIC_AURA,天龍光環
DK_DRAGONIC_BREATH,天龍氣息
DK_HACKANDSLASHER,橫揮斬
DK_MADNESS_CRUSHER,狂暴粉碎
DK_SERVANTWEAPON,死侍武器
DK_SERVANT_W_DEMOL,死侍武器-破滅
DK_SERVANT_W_PHANTOM,死侍武器-瞬幻
DK_SERVANT_W_SIGN,死侍武器-標記
DK_STORMSLASH,風暴斬擊
DK_TWOHANDDEF,雙向防禦
DK_VIGOR,活力之源
ECLAGE_RECALL,返回艾可拉珠
ECL_PEONYMAMY,粉紅粗葉
ECL_SADAGUI,筮答葵葉
ECL_SEQUOIADUST,世界樹之塵
ECL_SNOWFLIP,冰雪寒葉
EM_ACTIVITY_BURN,能量燃燼
EM_CONFLAGRATION,灼熱岩漿
EM_DIAMOND_STORM,鑽石風暴
EM_ELEMENTAL_BUSTER,元素破壞
EM_ELEMENTAL_SPIRIT_M,元素鬥志精熟
EM_ELEMENTAL_VEIL,元素天幕
EM_INCREASING_ACTIVITY,能量轉換
EM_LIGHTNING_LAND,雷霆陣地
EM_MAGIC_BOOK_M,魔法書精熟
EM_SPELL_ENCHANTING,咒力賦予
EM_SUMMON_ELEMENTAL_ARDOR,召喚元素:阿爾多雷
EM_SUMMON_ELEMENTAL_DILUVIO,召喚元素:迪盧比奧
EM_SUMMON_ELEMENTAL_PROCELLA,召喚元素:普羅賽拉
EM_SUMMON_ELEMENTAL_SERPENS,召喚元素:塞爾彭斯
EM_SUMMON_ELEMENTAL_TERREMOTUS,召喚元素:泰雷莫圖斯
EM_TERRA_DRIVE,大地驅動
EM_VENOM_SWAMP,毒液沼澤
GC_ANTIDOTE,解毒劑
GC_CLOAKINGEXCEED,偽裝強化
GC_COUNTERSLASH,反擊斬
GC_CREATENEWPOISON,新毒製作
GC_CROSSIMPACT,十字斬
GC_CROSSRIPPERSLASHER,迴旋十字斬
GC_DARKCROW,致命爪痕
GC_DARKILLUSION,黑色幻影
GC_HALLUCINATIONWALK,幻影步
GC_PHANTOMMENACE,惡靈威脅
GC_POISONINGWEAPON,劇毒武器
GC_POISONSMOKE,毒霧
GC_RESEARCHNEWPOISON,新毒研究
GC_ROLLINGCUTTER,迴旋刀刃
GC_VENOMIMPRESS,毒耐性弱化
GC_VENOMPRESSURE,劇毒強制賦予
GC_WEAPONBLOCKING,武器抵禦
GC_WEAPONCRUSH,卸除武裝
GD_APPROVAL,正式工會認證
GD_BATTLEORDER,下達戰鬥命令
GD_CHARGESHOUT_BEATING,吹響衝鋒號角
GD_CHARGESHOUT_FLAG,衝鋒旗飄揚
GD_DEVELOPMENT,永久的發展
GD_EMERGENCYCALL,緊急呼叫
GD_EMERGENCY_MOVE,緊急移動
GD_EXTENSION,擴充組合體制
GD_GLORYWOUNDS,光榮的傷口
GD_GUARDRESEARCH,研究監護人
GD_GUARDUP,監護人魔物強化
GD_GUILD_STORAGE,公會倉庫擴充
GD_HAWKEYES,尖銳的視線
GD_KAFRACONTRACT,和卡普拉訂契約
GD_LEADERSHIP,偉大的指導力
GD_REGENERATION,復興公會員體力
GD_RESTORE,恢復公會員體力
GD_SOULCOLD,冷漠之心
GM_AP_HEAL,活躍治癒術
GM_ITEM_ATKMAX,物理道具攻擊力最大
GM_ITEM_ATKMIN,物理道具攻擊力最小
GM_ITEM_MATKMAX,魔法道具攻擊力最大
GM_ITEM_MATKMIN,魔法道具攻擊力最小
GM_SANDMAN,搖籃曲
GN_BLOOD_SUCKER,吸血植物
GN_CARTBOOST,手推車加速
GN_CARTCANNON,手推車加農砲
GN_CART_TORNADO,手推車龍捲風
GN_CHANGEMATERIAL,素材變化
GN_CRAZYWEED,瘋狂野草
GN_DEMONIC_FIRE,惡魔火焰
GN_FIRE_EXPANSION,火焰擴散
GN_HELLS_PLANT,地獄植物
GN_ILLUSIONDOPING,幻覺禁藥
GN_MAKEBOMB,炸彈製作書
GN_MANDRAGORA,曼陀羅魔花的尖叫
GN_MIX_COOKING,調配料理
GN_REMODELING_CART,手推車改良
GN_SLINGITEM,道具投擲
GN_SPORE_EXPLOSION,爆炸孢子
GN_S_PHARMACY,專門配藥
GN_THORNS_TRAP,荊棘陷阱
GN_TRAINING_SWORD,單手劍使用熟練度
GN_WALLOFTHORN,荊棘之壁
GS_ADJUSTMENT,終極閃躲
GS_BULLSEYE,公牛之眼
GS_CHAINACTION,連鎖衝擊
GS_CRACKER,轟然巨響
GS_DESPERADO,亡命之徒
GS_DISARM,拋戈卸甲
GS_DUST,彈片四射
GS_FLING,投擲硬幣
GS_FULLBUSTER,全面破壞
GS_GATLINGFEVER,格林狂熱
GS_GLITTERING,裝滿硬幣
GS_GROUNDDRIFT,四面埋伏
GS_INCREASING,命中率遞增
GS_MADNESSCANCEL,瘋狂凱斯樂
GS_MAGICALBULLET,魔術彈
GS_PIERCINGSHOT,霹靂彈
GS_RAPIDSHOWER,五連擊
GS_SINGLEACTION,單槍射擊
GS_SNAKEEYE,瞄準之眼
GS_SPREADATTACK,火力全開
GS_TRACKING,百步穿楊
GS_TRIPLEACTION,三連攻擊
HAMI_BLOODLUST,血的貪求
HAMI_CASTLE,位置互換
HAMI_DEFENCE,防禦力
HAMI_SKIN,活命之膚
HFLI_FLEET,橫越速度
HFLI_MOON,月光
HFLI_SBR44,S.B.R.44
HFLI_SPEED,緊急迴避
HLIF_AVOID,輕捷移動
HLIF_BRAIN,腦手術
HLIF_CHANGE,智力變換
HLIF_HEAL,治癒之手
HN_BREAKINGLIMIT,突破極限
HN_DOUBLEBOWLINGBASH,雙重怪物互擊
HN_GROUND_GRAVITATION,地面重力
HN_HELLS_DRIVE,地獄毀滅
HN_JACK_FROST_NOVA,新霜凍術
HN_JUPITEL_THUNDER_STORM,雷鳴術風暴
HN_MEGA_SONIC_BLOW,巨型音速投擲
HN_METEOR_STORM_BUSTER,隕石術猛擊
HN_NAPALM_VULCAN_STRIKE,念力連擊攻擊
HN_RULEBREAK,突破規矩
HN_SELFSTUDY_SOCERY,自學魔法
HN_SELFSTUDY_TATICS,自學策略
HN_SHIELD_CHAIN_RUSH,連續盾擊衝撞
HN_SPIRAL_PIERCE_MAX,螺旋擊刺Max
HP_ASSUMPTIO,聖母之祈福
HP_BASILICA,神聖殿堂
HP_MANARECHARGE,魔力減免
HP_MEDITATIO,冥想
HT_ANKLESNARE,定位陷阱
HT_BEASTBANE,動物殺手
HT_BLASTMINE,定時爆炸陷阱
HT_BLITZBEAT,閃電衝擊
HT_CLAYMORETRAP,爆散陷阱
HT_DETECTING,獵鷹尋敵
HT_FALCON,馴鷹術
HT_FLASHER,強光陷阱
HT_FREEZINGTRAP,霜凍陷阱
HT_LANDMINE,地雷陷阱
HT_PHANTASMIC,幻影箭
HT_POWER,動物猛擊
HT_REMOVETRAP,陷阱移除
HT_SANDMAN,睡魔陷阱
HT_SHOCKWAVE,魔耗陷阱
HT_SKIDTRAP,滑動陷阱
HT_SPRINGTRAP,爆破陷阱
HT_STEELCROW,鋼製喙
HT_TALKIEBOX,陷阱探查
HVAN_CAPRICE,善變
HVAN_CHAOTIC,混亂的祈福
HVAN_EXPLOSION,生物爆炸
HVAN_INSTRUCT,變更指示
HW_GANBANTEIN,咖般塔音
HW_GRAVITATION,重力原野
HW_MAGICCRASHER,魔擊術
HW_MAGICPOWER,魔力增幅
HW_NAPALMVULCAN,念力連擊
HW_SOULDRAIN,吸魂術
IG_ATTACK_STANCE,攻擊架式
IG_CROSS_RAIN,聖十字雨
IG_GRAND_JUDGEMENT,末日審判
IG_GUARDIAN_SHIELD,守護神盾
IG_GUARD_STANCE,防禦架式
IG_HOLY_SHIELD,抗性聖盾
IG_JUDGEMENT_CROSS,交錯審判
IG_OVERSLASH,瞬間斬擊
IG_REBOUND_SHIELD,回彈神盾
IG_SHIELD_MASTERY,防盾精熟
IG_SHIELD_SHOOTING,盾牌投擲
IG_SPEAR_SWORD_M,矛&劍精熟
IG_ULTIMATE_SACRIFICE,終極犧牲
IQ_EXPOSION_BLASTER,爆破衝擊
IQ_FIRM_FAITH,堅定信念
IQ_FIRST_BRAND,第一擊:烙印
IQ_FIRST_FAITH_POWER,首章:信仰之力
IQ_JUDGE,次章:審判者
IQ_MASSIVE_F_BLASTER,焰魔散彈
IQ_OLEUM_SANCTUM,聖油洗禮
IQ_POWERFUL_FAITH,堅毅信念
IQ_SECOND_FAITH,第二擊:信念
IQ_SECOND_FLAME,第二擊:火焰滅絕
IQ_SECOND_JUDGEMENT,第二擊:審判
IQ_SINCERE_FAITH,真誠信念
IQ_THIRD_CONSECRATION,第三擊:淨化
IQ_THIRD_EXOR_FLAME,最終章:驅魔火焰
IQ_THIRD_FLAME_BOMB,第三擊 : 火焰彈
IQ_THIRD_PUNISH,第三擊 : 懲治
IQ_WILL_OF_FAITH,信念意志
ITM_TOMAHAWK,投擲風靈之斧
KG_KAGEHUMI,踏影
KG_KAGEMUSYA,影子武士
KG_KYOMU,虛無飄妙之影
KN_AUTOCOUNTER,反擊
KN_BOWLINGBASH,怪物攻擊
KN_BRANDISHSPEAR,騎乘攻擊
KN_CAVALIERMASTERY,騎兵修練
KN_CHARGEATK,衝鋒攻擊
KN_ONEHAND,單手劍攻擊速度增加
KN_PIERCE,連刺攻擊
KN_RIDING,騎乘術
KN_SPEARBOOMERANG,投擲長矛攻擊
KN_SPEARMASTERY,長矛使用熟練度
KN_SPEARSTAB,長矛刺擊
KN_TWOHANDQUICKEN,雙手劍攻擊速度增加
KO_BAKURETSU,炸彈飛刀
KO_DOHU_KOUKAI,地符 : 剛塊
KO_GENWAKU,幻術–迷惑
KO_HAPPOKUNAI,八方飛刀
KO_HUUMARANKA,風魔飛鏢之飛舞
KO_HYOUHU_HUBUKI,冰符 : 吹雪
KO_IZAYOI,十六夜
KO_JYUMONJIKIRI,幽冥十字斬
KO_JYUSATSU,幻術–咒死
KO_KAHU_ENTEN,火符 : 炎天
KO_KAIHOU,法術–釋放
KO_KAZEHU_SEIRAN,風符 : 青嵐
KO_KYOUGAKU,幻術–驚恐
KO_LEFT,左手修練
KO_MAKIBISHI,投擲三角釘
KO_MEIKYOUSISUI,明鏡止水
KO_MUCHANAGE,投擲魔幣
KO_RIGHT,右手修練
KO_SETSUDAN,靈魂阻隔
KO_YAMIKUMO,暗雲
KO_ZANZOU,幻術–殘影
KO_ZENKAI,法術–施展
LG_BANDING,聚集
LG_BANISHINGPOINT,放逐攻擊
LG_CANNONSPEAR,加農砲攻擊
LG_EARTHDRIVE,大地毀滅
LG_EXEEDBREAK,強化衝擊
LG_FORCEOFVANGUARD,先鋒部隊
LG_HESPERUSLIT,黃昏星之光
LG_INSPIRATION,靈感
LG_KINGS_GRACE,王的恩典
LG_MOONSLASHER,半月斬
LG_OVERBRAND,支配烙印
LG_PIETY,虔誠
LG_PINPOINTATTACK,精準攻擊
LG_PRESTIGE,威信
LG_RAGEBURST,憤怒突擊
LG_RAYOFGENESIS,創世之光
LG_REFLECTDAMAGE,聖冕加護
LG_SHIELDPRESS,重壓盾擊
LG_SHIELDSPELL,盾咒
LG_TRAMPLE,摧殘
LK_AURABLADE,靈氣劍
LK_BERSERK,狂怒之槍
LK_CONCENTRATION,
LK_HEADCRUSH,傷害增壓
LK_JOINTBEAT,巧打
LK_PARRYING,雙劍挌擋
LK_SPIRALPIERCE,螺旋擊刺
LK_TENSIONRELAX,極速回復
MA_CHARGEARROW,衝鋒箭
MA_DOUBLE,二連矢
MA_FREEZINGTRAP,霜凍陷阱
MA_LANDMINE,地雷陷阱
MA_REMOVETRAP,陷阱移除
MA_SANDMAN,睡魔陷阱
MA_SHARPSHOOTING,銳利射擊
MA_SHOWER,箭雨
MA_SKIDTRAP,滑動陷阱
MC_CARTDECORATE,改裝手推車 2
MC_CARTREVOLUTION,手推車攻擊
MC_CHANGECART,改裝手推車
MC_DISCOUNT,低價買進
MC_IDENTIFY,物品鑑定
MC_INCCARRY,負重量上升
MC_LOUD,大聲吶喊
MC_MAMMONITE,金錢攻擊
MC_OVERCHARGE,高價賣出
MC_PUSHCART,手推車使用
MC_VENDING,露天商店
MER_AUTOBERSERK,狂暴狀態
MER_BENEDICTION,祝福
MER_BLESSING,天使之賜福
MER_COMPRESS,壓制
MER_CRASH,撞擊
MER_DECAGI,緩速術
MER_ESTIMATION,怪物情報
MER_INCAGI,加速術
MER_INVINCIBLEOFF2,心靈淨化
MER_KYRIE,霸邪之陣
MER_LEXDIVINA,沉默之術
MER_MAGNIFICAT,聖母之頌歌
MER_MENTALCURE,精神_治癒
MER_PROVOKE,挑釁
MER_QUICKEN,加速武器
MER_RECUPERATE,復原
MER_REGAIN,恢復
MER_SCAPEGOAT,替罪羔羊
MER_SIGHT,火狩
MER_TENDER,補給
MG_COLDBOLT,冰箭術
MG_ENERGYCOAT,能量外套
MG_FIREBALL,火球術
MG_FIREBOLT,火箭術
MG_FIREWALL,火焰之壁
MG_FROSTDIVER,冰凍術
MG_LIGHTNINGBOLT,雷擊術
MG_NAPALMBEAT,心靈爆破
MG_SAFETYWALL,暗之障壁
MG_SIGHT,火狩
MG_SOULSTRIKE,聖靈召喚
MG_SRECOVERY,禪心
MG_STONECURSE,石化術
MG_THUNDERSTORM,雷爆術
MH_ABSOLUTE_ZEPHYR,絕對微風
MH_ANGRIFFS_MODUS,攻擊準備
MH_BLAST_FORGE,毀滅熔爐
MH_BLAZING_AND_FURIOUS,烈焰狂怒
MH_BLAZING_LAVA,炙熱熔岩
MH_BRUSHUP_CLAW,鉤爪升級
MH_CBC,連續突破組合
MH_CLASSY_FLUTTER,優雅振翅
MH_EQC,永恆快速組合
MH_ERASER_CUTTER,音速刀刃
MH_GLANZEN_SPIES,間諜標槍
MH_GOLDENE_FERSE,黃金腳跟
MH_GOLDENE_TONE,黃金音調
MH_GRANITIC_ARMOR,花崗岩鎧甲
MH_HEILIGE_PFERD,聖馬
MH_HEILIGE_STANGE,聖刺
MH_LAVA_SLIDE,熔岩滑動
MH_LICHT_GEHORN,極光之角
MH_LIGHT_OF_REGENE,重生之光
MH_MAGMA_FLOW,岩漿流動
MH_MIDNIGHT_FRENZY,午夜狂暴
MH_NEEDLE_OF_PARALYZE,麻痺針
MH_NEEDLE_STINGER,奪命刺針
MH_OVERED_BOOST,瞬間增壓
MH_PAIN_KILLER,鎮痛劑
MH_POISON_MIST,劇毒粉
MH_POLISHING_NEEDLE,拋光針
MH_PYROCLASTIC,火山塵暴
MH_SILENT_BREEZE,沉默微風
MH_SILVERVEIN_RUSH,銀脈衝擊
MH_SONIC_CRAW,音速利爪
MH_STAHL_HORN,鋼鐵之角
MH_STEINWAND,岩壁
MH_STYLE_CHANGE,轉換型態
MH_SUMMON_LEGION,召喚蟲團
MH_TEMPERING,回火
MH_THE_ONE_FIGHTER_RISES,鬥士崛起
MH_TINDER_BREAKER,粉碎骨折
MH_TOXIN_OF_MANDARA,曼陀羅劇毒
MH_TWISTER_CUTTER,颶風刀刃
MH_VOLCANIC_ASH,火山灰
MH_XENO_SLASHER,血腥魔刀
MI_ECHOSONG,回音之歌
MI_HARMONIZE,和聲演奏
MI_RUSH_WINDMILL,朝風車突擊
ML_AUTOGUARD,自動防禦
ML_BRANDISH,騎乘攻擊
ML_DEFENDER,光之盾
ML_DEVOTION,犧牲
ML_PIERCE,連刺攻擊
ML_SPIRALPIERCE,螺旋擊刺
MO_ABSORBSPIRITS,吸氣
MO_BALKYOUNG,發勁
MO_BLADESTOP,真劍百破道
MO_BODYRELOCATION,弓身彈影
MO_CALLSPIRITS,蓄氣
MO_CHAINCOMBO,連環全身掌
MO_COMBOFINISH,猛龍誇強
MO_DODGE,移花接木
MO_EXPLOSIONSPIRITS,爆氣
MO_EXTREMITYFIST,阿修羅霸凰拳
MO_FINGEROFFENSIVE,彈指神通
MO_INVESTIGATE,浸透勁
MO_IRONHAND,鐵沙掌
MO_KITRANSLATION,振氣注入
MO_SPIRITSRECOVERY,運氣調息
MO_STEELBODY,金剛不壞
MO_TRIPLEATTACK,六合拳
MS_BASH,狂擊
MS_BERSERK,狂怒之槍
MS_BOWLINGBASH,怪物互擊
MS_MAGNUM,怒爆
MS_PARRYING,
MS_REFLECTSHIELD,反射盾
MT_ABR_M,ABR精熟
MT_AXE_STOMP,戰斧踏滅
MT_A_MACHINE,啟動攻擊裝置
MT_D_MACHINE,啟動防禦裝置
MT_MIGHTY_SMASH,強力粉碎
MT_M_MACHINE,製造裝置
MT_RUSH_QUAKE,衝擊撼動
MT_SPARK_BLASTER,閃光衝擊波
MT_SUMMON_ABR_BATTLE_WARIOR,ABR-決戰勇士
MT_SUMMON_ABR_DUAL_CANNON,ABR-雙子加農砲
MT_SUMMON_ABR_INFINITY,ABR-無限戰火
MT_SUMMON_ABR_MOTHER_NET,ABR-天網聖母
MT_TRIPLE_LASER,三連雷射
MT_TWOAXEDEF,雙手斧防禦
NC_ACCELERATION,魔導機甲加速
NC_ANALYZE,解析
NC_ARMSCANNON,加農砲
NC_AXEBOOMERANG,迴旋斧
NC_AXETORNADO,戰斧颶風
NC_BOOSTKNUCKLE,噴射飛拳
NC_B_SIDESLIDE,大步後退
NC_COLDSLOWER,液體冷卻彈
NC_DISJOINT,FAW解體
NC_EMERGENCYCOOL,緊急冷卻
NC_FLAMELAUNCHER,火焰噴射器
NC_F_SIDESLIDE,大步前進
NC_HOVERING,懸停
NC_INFRAREDSCAN,紅外線掃瞄
NC_MADOLICENCE,魔導機甲執照
NC_MAGICDECOY,FAW魔法傀儡
NC_MAGMA_ERUPTION,岩漿噴發
NC_MAGNETICFIELD,磁場
NC_MAINFRAME,主體改造
NC_NEUTRALBARRIER,中性防護罩
NC_PILEBUNKER,衝擊椎
NC_POWERSWING,揮斧重擊
NC_REPAIR,修復
NC_RESEARCHFE,火焰與大地的研究
NC_SELFDESTRUCTION,自我摧毀
NC_SHAPESHIFT,形態轉換
NC_SILVERSNIPER,FAW銀光狙擊手
NC_STEALTHFIELD,隱形力場
NC_TRAININGAXE,斧頭鍛鍊
NC_VULCANARM,火神砲
NJ_BAKUENRYU,爆炎龍
NJ_BUNSINJYUTSU,幻影分身
NJ_HUUJIN,風刃
NJ_HUUMA,投擲風魔飛鏢
NJ_HYOUSENSOU,冰閃槍
NJ_HYOUSYOURAKU,冰晶落
NJ_ISSEN,一閃擊
