key,zh-TW,en,th,de,es
SM_RECOVERY,快速恢復,Recovery,,,
SM_SWORD,單手劍使用熟練度,Sword Mastery,,,
SM_TWOHAND,雙手劍使用熟練度,Two Hand Mastery,,,
KN_SPEARMASTERY,長矛使用熟練度,Spear Mastery,,,
KN_TWOHANDQUICKEN,雙手劍攻擊速度增加,Two Hand Quicken,,,
CR_SPEARQUICKEN,長矛加速術,Spear Quicken,,,
KN_RIDING,騎乘術,Riding,,,
SM_MAGNUM,怒爆,Magnum,,,
LK_AURABLADE,靈氣劍,Aura Blade,,,
LK_CONCENTRATION,集中攻擊,Concentration,,,
LK_BERSERK,狂怒之槍,Berserk,,,
CR_TRUST,信任,Trust,,,
AS_KATAR,拳刃修練,Katar Mastery,,,
AS_SONICACCEL,超音速投擲,Sonic Accel,,,
ASC_EDP,致命塗毒,Enchant Deadly Poison,,,
ASC_KATAR,高階拳刃修練,Advanced Katar Reserch,,,
RG_PLAGIARISM,抄襲,Plagiarism,,,
RG_RAID_SUPPORT,潛擊狀態(對一般階級),Raid Support,,,
RG_RAID_SUPPORT(boss),潛擊狀態(對Boss階級),Raid Support (Boss),,,
SC_AUTOSHADOWSPELL,自動魅影念咒,Auto Shadow Spell,,,
AL_INCAGI,加速術,Incagi,,,
AL_BLESSING,天使之賜福,Blessing,,,
AB_CANTO,純白百合花,Canto,,,
AB_CLEMENTIA,慈悲術,Clementia,,,
PR_SUFFRAGIUM,犧牲祈福,Suffragium,,,
PR_IMPOSITIO,神威祈福,Impositio,,,
PR_LEXAETERNA,天使之怒,Lexaeterna,,,
PR_MACEMASTERY,權杖使用熟練度,Mace Mastery,,,
PR_GLORIA,幸運之頌歌,Gloria,,,
PR_MAGNIFICAT,聖母之頌歌,Magnificat,,,
MG_SRECOVERY,禪心,Srecovery,,,
MO_IRONHAND,鐵沙掌,Iron Hand,,,
MO_DODGE,移花接木,Dodge,,,
SR_RAISINGDRAGON,潛龍昇天,Raising Dragon,,,
MO_CALLSPIRITS,蓄氣(氣彈數),Call Spirits,,,
HW_MAGICPOWER,魔力增幅,Magic Power,,,
AM_AXEMASTERY,斧頭/單手劍使用熟練度,Axe Mastery,,,
GN_TRAINING_SWORD,單手劍使用熟練度(基因),Training Sword Mastery,,,
GN_CARTBOOST,手推車加速,Cart Boost,,,
AC_OWL,鶚梟之眼,Owl,,,
AC_CONCENTRATION,心神凝聚,Concentration,,,
MC_LOUD,大聲吶喊,Loud,,,
BS_MAXIMIZE,武器值最大化,Maximize,,,
BS_WEAPONPERFECT,無視體型攻擊,Weapon Perfect,,,
BS_OVERTHRUST25,兇砍 25%,Overthrust25,,,
BS_OVERTHRUST15,兇砍(隊伍) 15%,Overthrust15,,,
BS_OVERTHRUST100,兇砍最大值 100%,Overthrust100,,,
WS_MELTDOWN,野蠻凶砍,Meltdown,,,
BS_ADRENALINE,速度激發,Adrenaline,,,
BS_HILTBINDING,武器保有,Hilt Binding,,,
NC_TRAININGAXE,斧頭使用熟練度,Training Axe Mastery,,,
BS_WEAPONRESEARCH,武器研究,Weapon Research,,,
AM_LEARNINGPOTION,知識藥水,Learning Potion,,,
BA_MUSICALLESSON,操控樂器/練習舞蹈,Musical Lesson,,,
BA_WHISTLE,吹口哨,Whistle,,,
BA_POEMBRAGI,布萊奇之詩,Poembragi,,,
BA_ASSASSINCROSS,刺客的黃昏,Assassin Cross,,,
DC_HUMMING,哼唱之音,Humming,,,
DC_FORTUNEKISS,女神之吻,Fortune Kiss,,,
DC_SERVICEFORYOU,為您服務,Service For You,,,
SA_ADVANCEDBOOK,進化之書,Advanced Book,,,
PF_MINDBREAKER,精神撼動,Mind Breaker,,,
SA_VOLCANO,火元素領域,Volcano,,,
SA_DELUGE,水元素領域,Deluge,,,
SA_VIOLENTGALE,風元素領域,Violent Gale,,,
RK_IGNITIONBREAK,致命爆裂,Ignition Break,,,
RK_HUNDREDSPEAR,百矛穿刺,Hundred Spear,,,
RK_HUNDREDSPEAR(ex),百矛穿刺(天龍光環),Hundred Spear (Dragonic Aura),,,
RK_SONICWAVE,音速衝擊波,Sonic Wave,,,
RK_STORMBLAST,風暴衝擊,Storm Blast,,,
RK_DRAGONBREATH,龍之氣息(天龍光環),Dragon Breath,,,
DK_STORMSLASH,風暴斬擊,Storm Slash,,,
DK_HACKANDSLASHER,橫揮斬,Hack And Slasher,,,
DK_SERVANTWEAPON,死侍武器,Servant Weapon,,,
DK_MADNESS_CRUSHER,狂暴粉碎,Madness Crusher,,,
DK_DRAGONIC_AURA,天龍光環,Dragonic Aura,,,
DK_DRAGONIC_AURA(ex),天龍光環(人形/天使),Dragonic Aura (Dragonic Aura),,,
DK_DRAGONIC_BREATH,天龍氣息,Dragonic Breath,,,
DK_DRAGONIC_BREATH(ex),天龍氣息(天龍光環),Dragonic Breath (Dragonic Aura),,,
DK_DRAGONIC_PIERCE,神龍貫刺,Dragonic Pierce,,,
DK_DRAGONIC_PIERCE(ex),神龍貫刺(天龍光環),Dragonic Pierce (Dragonic Aura),,,
WL_CRIMSONROCK,碧血隕石,Crimson Rock,,,
WL_EARTHSTRAIN,地牛翻身,Earth Strain,,,
WL_JACKFROST,凍僵術,Jack Frost,,,
WL_JACKFROST(buff),凍僵術(結霜),Jack Frost (Buff),,,
WL_CHAINLIGHTNING,連鎖電擊,Chain Lightning,,,
WL_SOULEXPANSION,靈魂爆炸,Soul Expansion,,,
WL_HELLINFERNO,地獄火焰(暗),Hell Inferno,,,
WL_HELLINFERNO(fire),地獄火焰(火),Hell Inferno (Fire),,,
WL_COMET,毀滅慧星,Comet,,,
AG_FLORAL_FLARE_ROAD,焰火之徑,Floral Flare Road,,,
AG_CRIMSON_ARROW(all),豔紅魔矢(總和),Crimson Arrow (Total),,,
AG_CRIMSON_ARROW(ex),豔紅魔矢(爆炸),Crimson Arrow (Range),,,
AG_ALL_BLOOM,萬紫千紅,All Bloom,,,
AG_ALL_BLOOM(5),萬紫千紅(巔峰5),All Bloom (Climax5),,,
AG_RAIN_OF_CRYSTAL,冰晶飛瀑,Rain Of Crystal,,,
AG_FROZEN_SLASH,冰刃斬,Frozen Slash,,,
AG_FROZEN_SLASH(ex),冰刃斬(巔峰),Frozen Slash (Climax),,,
AG_CRYSTAL_IMPACT,水晶波爆,Crystal Impact,,,
AG_CRYSTAL_IMPACT(2),水晶波爆(巔峰2),Crystal Impact (Climax2),,,
AG_TORNADO_STORM,龍捲風暴,Tornado Storm,,,
AG_STORM_CANNON,暴風加農砲,Storm Cannon,,,
AG_STORM_CANNON(ex),暴風加農砲(巔峰),Storm Cannon (Climax),,,
AG_DESTRUCTIVE_HURRICANE,毀滅颶風,Destructive Hurricane,,,
AG_DESTRUCTIVE_HURRICANE(1),毀滅颶風(巔峰1),Destructive Hurricane (Climax1),,,
AG_STRANTUM_TREMOR,地層震動,Strantum Tremor,,,
AG_ROCK_DOWN,巨石降臨,Rock Down,,,
AG_ROCK_DOWN(ex),巨石降臨(巔峰),Rock Down (Climax),,,
AG_VIOLENT_QUAKE,震裂術,Violent Quake,,,
AG_VIOLENT_QUAKE(1),震裂術(巔峰1),Violent Quake (Climax1),,,
AG_DEADLY_PROJECTION,致命放射,Deadly Projection,,,
AG_MYSTERY_ILLUSION,神秘幻滅,Mystery Illusion,,,
AG_SOUL_VC_STRIKE,靈魂連擊,Soul Vc Strike,,,
AG_ASTRAL_STRIKE,星際突襲,Astral Strike,,,
AG_ASTRAL_STRIKE(all),星際突襲(總和),Astral Strike (All),,,
AG_ASTRAL_STRIKE(ex),星際突襲(不死型/龍),Astral Strike (Race),,,
AG_ASTRAL_STRIKE(exall),星際突襲(不死型/龍總和),Astral Strike (RaceTotal),,,
AB_ADORAMUS,謳歌,Adoramus,,,
CD_FRAMEN,聖靈鎮魂,Framen,,,
CD_FRAMEN(ex),聖靈鎮魂(惡魔/不死),Framen (Race),,,
CD_DIVINUS_FLOS,神聖花雨,Divinus Flos,,,
CD_ARBITRIUM(all),制裁謳歌(總和),Arbitrium (Total),,,
CD_ARBITRIUM,制裁謳歌(擴散),Arbitrium,,,
CD_PNEUMATICUS_PROCELLA,驅魔風暴,Pneumaticus Procella,,,
CD_PNEUMATICUS_PROCELLA(ex),驅魔風暴(惡魔/不死),Pneumaticus Procella (Race),,,
CD_PETITIO(1),聖光打擊,Petitio (1),,,
CD_EFFLIGO,破壞擊,Effligo,,,
CD_EFFLIGO(ex),破壞擊(惡魔/不死),Effligo (Race),,,
GC_CROSSIMPACT,十字斬,Cross Impact,,,
GC_ROLLINGCUTTER,迴旋刀刃,Rolling Cutter,,,
GC_CROSSRIPPERSLASHER,迴旋十字斬,Cross Ripper Slasher,,,
SHC_SAVAGE_IMPACT,野蠻衝擊,Savage Impact,,,
SHC_SAVAGE_IMPACT(ex),野蠻衝擊(魅影強化),Savage Impact (Shadow Exceed),,,
SHC_ETERNAL_SLASH,永恆斬擊,Eternal Slash,,,
SHC_ETERNAL_SLASH(ex),永恆斬擊(魅影強化),Eternal Slash (Shadow Exceed),,,
SHC_IMPACT_CRATER,神力撞擊,Impact Crater,,,
SHC_SHADOW_STAB,暗影刺擊,Shadow Stab,,,
SHC_SHADOW_STAB(ex),暗影刺擊(偽裝強化),Shadow Stab (Cloaking Exceed),,,
SHC_FATAL_SHADOW_CROW,致命影爪,Fatal Shadow Crow,,,
SHC_FATAL_SHADOW_CROW(ex),致命影爪(人類/龍),Fatal Shadow Crow (Race),,,
SHC_CROSS_SLASH,十字斬擊,Cross Slash,,,
SHC_CROSS_SLASH(ex),十字斬擊(魅影強化),Cross Slash (Shadow Exceed),,,
NC_AXETORNADO(ex),戰斧颶風(踏滅),Axe Tornado (Stomp),,,
NC_ARMSCANNON,加農砲,Arms Cannon,,,
NC_VULCANARM,火神砲,Vulcan Arm,,,
NC_BOOSTKNUCKLE,噴射飛拳,Boost Knuckle,,,
MT_AXE_STOMP,戰斧踏滅(雙手斧),Axe Stomp,,,
MT_MIGHTY_SMASH,強力粉碎,Mighty Smash,,,
MT_MIGHTY_SMASH(ex),強力粉碎(踏滅),Mighty Smash (Stomp),,,
MT_TRIPLE_LASER,三連雷射,Triple Laser,,,
MT_SPARK_BLASTER,閃光衝擊波,Spark Blaster,,,
MT_RUSH_STRIKE,衝鋒斬擊,Rush Strike,,,
MT_POWERFUL_SWING,爆發橫掃,Powerful Swing,,,
MT_POWERFUL_SWING(ex),爆發橫掃(踏滅),Powerful Swing (Stomp),,,
MT_ENERGY_CANNONADE,能量轟炸,Energy Cannonade,,,
RA_AIMEDBOLT,瞄準標靶,Aimed Bolt,,,
RA_AIMEDBOLT(ex),瞄準標靶(微風),Aimed Bolt (FearBreeze),,,
RA_ARROWSTORM,箭雨風暴,Arrow Storm,,,
RA_ARROWSTORM(ex),箭雨風暴(微風),Arrow Storm (FearBreeze),,,
WH_CRESCIVE_BOLT(min),漸進狙擊(min),Crescive Bolt (Min),,,
WH_CRESCIVE_BOLT(max),漸進狙擊(max),Crescive Bolt (Max),,,
WH_GALESTORM,毀滅風暴,Gale Storm,,,
WH_WILD_WALK,狂野疾行,Wild Walk,,,
LG_CANNONSPEAR(ex),加農砲攻擊(末日審判),Cannon Spear (Judgement),,,
LG_BANISHINGPOINT,放逐攻擊,Banishing Point,,,
LG_BANISHINGPOINT(ex),放逐攻擊(末日審判),Banishing Point (Judgement),,,
LG_OVERBRAND,支配烙印,Overbrand,,,
LG_OVERBRAND(ex),支配烙印(半月斬),Overbrand (MoonSlasher),,,
LG_EXEEDBREAK,強化衝擊,Exeedbreak,,,
LG_SHIELDPRESS,重壓盾擊,Shield Press,,,
LG_EARTHDRIVE,大地毀滅,Earth Drive,,,
LG_RAYOFGENESIS,創世之光,Rayofgenesis,,,
PA_PRESSURE,神之威壓,Pressure,,,
IG_OVERSLASH,瞬間斬擊,Overslash,,,
IG_SHIELD_SHOOTING,盾牌投擲,Shield Shooting,,,
IG_GRAND_JUDGEMENT,末日審判,Grand Judgement,,,
IG_GRAND_JUDGEMENT(ex),末日審判(植物/昆蟲),Grand Judgement (Race),,,
IG_CROSS_RAIN,聖十字雨,Cross Rain,,,
IG_CROSS_RAIN(ex),聖十字雨(抗性神盾),Cross Rain (Ex),,,
IG_JUDGEMENT_CROSS,交錯審判,Judgement Cross,,,
IG_JUDGEMENT_CROSS(ex),交錯審判(植物/昆蟲),Judgement Cross (Race),,,
IG_RADIANT_SPEAR,光輝刺擊,Radiant Spear,,,
IG_RADIANT_SPEAR(ex),光輝刺擊(末日審判),Radiant Spear (Judgement),,,
IG_IMPERIAL_CROSS,帝國十字斬,Imperial Cross,,,
IG_IMPERIAL_CROSS(ex),帝國十字斬(末日審判),Imperial Cross (Judgement),,,
IG_IMPERIAL_PRESSURE,霸權震域,Imperial Pressure,,,
SO_PSYCHIC_WAVE,超自然波,Psychic Wave,,,
SO_VARETYR_SPEAR,聖槍刺擊,Varetyr Spear,,,
SO_DIAMONDDUST,鑽石星塵,Diamond Dust,,,
SO_EARTHGRAVE,大地墳場,Earth Grave,,,
SO_CLOUD_KILL,雲殺,Cloud Kill,,,
SO_POISON_BUSTER,劇毒猛擊,Poison Buster,,,
SO_POISON_BUSTER(ex),劇毒猛擊(雲殺),Poison Buster (Cloud Kill),,,
EM_VENOM_SWAMP,毒液沼澤,Venom Swamp,,,
EM_VENOM_SWAMP(ex),毒液沼澤(精靈),Venom Swamp (Ex),,,
EM_CONFLAGRATION,灼熱岩漿,Conflagration,,,
EM_CONFLAGRATION(ex),灼熱岩漿(精靈),Conflagration (Ex),,,
EM_DIAMOND_STORM,鑽石風暴,Diamond Storm,,,
EM_DIAMOND_STORM(ex),鑽石風暴(精靈),Diamond Storm (Ex),,,
EM_LIGHTNING_LAND,雷霆陣地,Lightning Land,,,
EM_LIGHTNING_LAND(ex),雷霆陣地(精靈),Lightning Land (Ex),,,
EM_TERRA_DRIVE,大地驅動,Terra Drive,,,
EM_TERRA_DRIVE(ex),大地驅動(精靈),Terra Drive (Ex),,,
EM_ELEMENTAL_BUSTER,元素破壞,Elemental Buster,,,
EM_ELEMENTAL_BUSTER(ex),元素破壞(龍族/無型),Elemental Buster (Race),,,
EM_PSYCHIC_STREAM,心靈波流,Psychic Stream,,,
MO_EXTREMITYFIST(over5),阿修羅霸凰拳(氣彈>5),Extremity Fist (Spirit5),,,
SR_TIGERCANNON,虎砲,Tiger Cannon,,,
SR_TIGERCANNON(ex),虎砲(大地崩纏後),Tiger Cannon (Ex),,,
SR_RIDEINLIGHTNING,雷光彈,Ride In Lightning,,,
SR_RAMPAGEBLASTER,爆氣散彈,Rampage Blaster,,,
SR_RAMPAGEBLASTER(ex),爆氣散彈(標記),Rampage Blaster (Ex),,,
IQ_EXPOSION_BLASTER,爆破衝擊,Exposion Blaster,,,
IQ_EXPOSION_BLASTER(ex),爆破衝擊(聖油洗禮),Exposion Blaster (Ex),,,
SR_KNUCKLEARROW,修羅身彈,Knuckle Arrow,,,
SR_KNUCKLEARROW(ex),修羅身彈(BOSS),Knuckle Arrow (Ex),,,
SR_GATEOFHELL,羅剎破凰擊,Gate Of Hell,,,
IQ_THIRD_PUNISH,第三擊:懲治,Third Punish,,,
IQ_THIRD_FLAME_BOMB,第三擊：火焰彈,Third Flame Bomb,,,
IQ_MASSIVE_F_BLASTER,焰魔散彈,Massive F Blaster,,,
IQ_MASSIVE_F_BLASTER(ex),焰魔散彈(惡魔/動物),Massive F Blaster (Race),,,
IQ_BLAZING_FLAME_BLAST,烈焰爆彈,Blazing Flame Blast,,,
IQ_BLAZING_FLAME_BLAST(ex),烈焰爆彈(焰魔散彈),Blazing Flame Blast (Ex),,,
SC_FATALMENACE,致命威脅,Fatal Menace,,,
SC_FATALMENACE(ex),致命威脅(深淵匕首),Fatal Menace (Abyss Dagger),,,
ABC_ABYSS_SQUARE,深淵墳場,Abyss Square,,,
ABC_ABYSS_SQUARE(ex),深淵墳場(靠近),Abyss Square (Near),,,
ABC_ABYSS_STRIKE,終結深淵攻擊,Abyss Strike,,,
ABC_ABYSS_STRIKE(ex),終結深淵攻擊(天使/惡魔),Abyss Strike (Race),,,
ABC_ABYSS_DAGGER,深淵匕首,Abyss Dagger,,,
ABC_DEFT_STAB,靈巧刺擊,Deft Stab,,,
ABC_UNLUCKY_RUSH,不幸衝擊,Unlucky Rush,,,
ABC_UNLUCKY_RUSH(ex),不幸衝擊(追跡),Unlucky Rush (Ex),,,
ABC_FROM_THE_ABYSS,萬丈深淵,From The Abyss,,,
ABC_CHAIN_REACTION_SHOT(1),連鎖射擊(第一),Chain Reaction Shot (1),,,
ABC_CHAIN_REACTION_SHOT(2),連鎖射擊(第二),Chain Reaction Shot (2),,,
ABC_FRENZY_SHOT,狂暴射擊,Frenzy Shot,,,
ABC_HIT_AND_SLIDING(bow),突擊滑行,Hit And Sliding (Bow),,,
ABC_CHASING_BREAK,追擊突斷,Chasing Break,,,
ABC_CHASING_BREAK(ex),追擊突斷(追跡),Chasing Break (Ex),,,
ABC_CHASING_SHOT,追襲射擊,Chasing Shot,,,
ABC_CHASING_SHOT(ex),追襲射擊(追跡),Chasing Shot (Ex),,,
ABC_ABYSS_FLAME,深淵之焰(目標),Abyss Flame,,,
ABC_ABYSS_FLAME(all),深淵之焰(範圍),Abyss Flame (All),,,
GN_CARTCANNON,手推車加農砲,Cart Cannon,,,
GN_CART_TORNADO,手推車龍捲風,Cart Tornado,,,
GN_CRAZYWEED,瘋狂野草,Crazy Weed,,,
GN_HELLS_PLANT,地獄植物,Hells Plant,,,
GN_SPORE_EXPLOSION,爆炸孢子,Spore Explosion,,,
BO_ACIDIFIED_ZONE_GROUND,強酸禁地,Acidified Zone Ground,,,
BO_ACIDIFIED_ZONE_GROUND(ex1),強酸禁地(研究),Acidified Zone Ground (Research),,,
BO_ACIDIFIED_ZONE_GROUND(ex2),強酸禁地(研究/無形/植物),Acidified Zone Ground (Research+Race),,,
BO_EXPLOSIVE_POWDER,爆炸炸藥,Explosive Powder,,,
BO_EXPLOSIVE_POWDER(ex),爆炸炸藥(研究報告),Explosive Powder (Research),,,
BO_MAYHEMIC_THORNS,混亂的荊棘,Mayhemic Thorns,,,
BO_MAYHEMIC_THORNS(ex),混亂的荊棘(研究報告),Mayhemic Thorns (Research),,,
BO_MYSTERY_POWDER,神秘粉末,Mystery Powder,,,
BO_DUST_EXPLOSION,星塵炸裂,Dust Explosion,,,
BO_DUST_EXPLOSION(ex),星塵炸裂(研究報告),Dust Explosion (Research),,,
WM_SEVERE_RAINSTORM,大暴雨,Severe Rain Storm,,,
WM_METALICSOUND,重金屬音樂,Metalic Sound,,,
WM_METALICSOUND(ex),重金屬音樂(混聲烙印),Metalic Sound (SoundBlend),,,
WM_REVERBERATION,殘響,Reverberation,,,
WM_REVERBERATION(ex),殘響(混聲烙印),Reverberation (SoundBlend),,,
TR_METALIC_FURY,金屬狂怒,Metalic Fury,,,
TR_METALIC_FURY(ex),金屬狂怒(混聲烙印),Metalic Fury (SoundBlend),,,
TR_RHYTHMSHOOTING,節奏射擊,Rhythm Shooting,,,
TR_RHYTHMSHOOTING(ex),節奏射擊(混聲烙印),Rhythm Shooting (SoundBlend),,,
TR_ROSEBLOSSOM(all),玫瑰箭矢(總傷),Rose Blossom (All),,,
TR_ROSEBLOSSOM(1),玫瑰箭矢(黃字),Rose Blossom (1),,,
TR_ROSEBLOSSOM(2),玫瑰箭矢(範圍追加),Rose Blossom (Range),,,
TR_ROSEBLOSSOM(exall),玫瑰箭矢(混聲烙印後總傷),Rose Blossom (SoundBlendTotal),,,
TR_ROSEBLOSSOM(ex1),玫瑰箭矢(混聲烙印後黃字),Rose Blossom (SoundBlend),,,
TR_ROSEBLOSSOM(ex2),玫瑰箭矢(混聲烙印後範圍追加),Rose Blossom (SoundBlendRange),,,
TR_RHYTHMICAL_WAVE,節奏戰波,Rhythmical Wave,,,
TR_RHYTHMICAL_WAVE(ex),節奏戰波(神秘交響曲),Rhythmical Wave (Ex),,,
NJ_KOUENKA,火炎花,Kouenka,,,
NJ_BAKUENRYU,爆炎龍,Bakuenryu,,,
NJ_HYOUSENSOU,冰閃槍,Hyousensou,,,
NJ_HYOUSYOURAKU,冰晶落,Hyousyouraku,,,
NJ_HUUJIN,風刃,Huujin,,,
NJ_KAMAITACHI,朔風,Kamaitachi,,,
KO_HUUMARANKA,風魔飛鏢之飛舞,Huumaranka,,,
KO_BAKURETSU,爆炸飛刀,Bakuretsu,,,
KO_JYUMONJIKIRI,幽冥十字斬(初次),Jyumonjikiri,,,
KO_JYUMONJIKIRI(buff),幽冥十字斬(十字創傷),Jyumonjikiri (Buff),,,
SS_SEKIENHOU,火焰砲,Sekienhou,,,
SS_REIKETSUHOU,冷焰砲,Reiketsuhou,,,
SS_RAIDENPOU,雷電砲,Raidenpou,,,
SS_KINRYUUHOU,金龍砲,Kinryuuhou,,,
SS_ANTENPOU,暗戰砲,Antenpou,,,
SS_ANKOKURYUUAKUMU,暗黑龍 - 噩夢,Ankokuryuuakumu,,,
SS_ANKOKURYUUAKUMU(ex),暗黑龍 - 噩夢(火),Ankokuryuuakumu (Fire),,,
SS_KUNAIWAIKYOKU,飛刀-扭曲,Kunaiwaikyoku,,,
SS_KUNAIKAITEN,飛刀-旋轉,Kunaikaiten,,,
SS_KUNAIKUSSETSU,飛刀-曲折,Kunaikussetsu,,,
SS_HITOUAKUMU,飛刀-噩夢,Hitouakumu,,,
SS_FUUMASHOUAKU,風魔飛鏢-掌握,Fuumashouaku,,,
SS_FUUMAKOUCHIKU,風魔飛鏢-構築,Fuumakouchiku,,,
SS_FUUMAKOUCHIKU(ex),風魔飛鏢-構築(暗器),Fuumakouchiku (Ex),,,
SS_FUUMAKOUCHIKU(all),風魔飛鏢-構築(加總),Fuumakouchiku (Total),,,
SS_KAGEGARI,詭影狩獵,Kagegari,,,
SS_KAGENOMAI,詭影舞動,Kagenomai,,,
SS_KAGEGISSEN,詭影閃光,Kagegissen,,,
SS_KAGEAKUMU,詭影-噩夢,Kageakumu,,,
SS_KAGEAKUMU(ex),詭影-噩夢(噩夢),Kageakumu (Ex),,,
RL_R_TRIP,圓桌舞蹈,R Trip,,,
RL_D_TAIL,魔獸擺尾,D Tail,,,
RL_D_TAIL(buff),魔獸擺尾(血色烙印),D Tail (Buff),,,
RL_BANISHING_BUSTER,強制驅逐,Banishing Buster,,,
NW_MAGAZINE_FOR_ONE,梅格競直擊,Magazine For One,,,
NW_THE_VIGILANTE_AT_NIGHT,夜裡的警惕,The Vigilante At Night,,,
NW_ONLY_ONE_BULLET,獨一槍彈,Only One Bullet,,,
NW_SPIRAL_SHOOTING,螺旋射擊,Spiral Shooting,,,
NW_WILD_FIRE,曠野之火,Wild Fire,,,
NW_WILD_SHOT,狂野射擊,Wild Shot,,,
NW_WILD_SHOT(ex),狂野射擊(王牌出手),Wild Shot (HiddenCard),,,
NW_MIDNIGHT_FALLEN,午夜殞落,Midnight Fallen,,,
NW_MIDNIGHT_FALLEN(ex),午夜殞落(王牌出手),Midnight Fallen (HiddenCard),,,
TK_JUMPKICK,飛腳踢,Jump Kick,,,
SJ_PROMINENCEKICK,紅焰腳,Prominence Kick,,,
SJ_SOLARBURST,太陽爆炸,Solarburst,,,
SJ_NEWMOONKICK,朔月腳,New Moon Kick,,,
SJ_FULLMOONKICK,滿月腳,Full Moon Kick,,,
SJ_FALLINGSTAR,流星殞落,Falling Star,,,
SKE_ALL_IN_THE_SKY,天羅萬象,All In The Sky,,,
SKE_ALL_IN_THE_SKY(ex),天羅萬象(人形/惡魔),All In The Sky (Race),,,
SKE_MIDNIGHT_KICK,天晨一月,Midnight Kick,,,
SKE_MIDNIGHT_KICK(ex),天晨一月(午夜),Midnight Kick (Ex),,,
SKE_NOON_BLAST,天晨一陽,Noon Blast,,,
SKE_NOON_BLAST(ex),天晨一陽(正午),Noon Blast (Ex),,,
SKE_SKY_SUN,天氣神陽,Sky Sun,,,
SKE_SKY_MOON,天氣神月,Sky Moon,,,
SKE_STAR_LIGHT_KICK,天星地行,Star Light Kick,,,
SP_SPA,艾斯帕,Spa,,,
SP_SWHOO,艾斯核,Swhoo,,,
SP_CURSEEXPLOSION,邪靈爆炸,Curse Explosion,,,
SP_CURSEEXPLOSION(buff),邪靈爆炸(詛咒),Curse Explosion (Buff),,,
